"realtime_start","realtime_end","date","value"
"2025-02-17","2025-02-17","1995-07-01","2.477"
"2025-02-17","2025-02-17","1995-08-01","2.482"
"2025-02-17","2025-02-17","1995-09-01","2.459"
"2025-02-17","2025-02-17","1995-10-01","2.473"
"2025-02-17","2025-02-17","1995-11-01","2.493"
"2025-02-17","2025-02-17","1995-12-01","2.518"
"2025-02-17","2025-02-17","1996-01-01","2.546"
"2025-02-17","2025-02-17","1996-02-01","2.541"
"2025-02-17","2025-02-17","1996-03-01","2.539"
"2025-02-17","2025-02-17","1996-04-01","2.537"
"2025-02-17","2025-02-17","1996-05-01","2.532"
"2025-02-17","2025-02-17","1996-06-01","2.599"
"2025-02-17","2025-02-17","1996-07-01","2.649"
"2025-02-17","2025-02-17","1996-08-01","2.666"
"2025-02-17","2025-02-17","1996-09-01","2.666"
"2025-02-17","2025-02-17","1996-10-01","2.730"
"2025-02-17","2025-02-17","1996-11-01","2.746"
"2025-02-17","2025-02-17","1996-12-01","2.727"
"2025-02-17","2025-02-17","1997-01-01","2.677"
"2025-02-17","2025-02-17","1997-02-01","2.632"
"2025-02-17","2025-02-17","1997-03-01","2.632"
"2025-02-17","2025-02-17","1997-04-01","2.606"
"2025-02-17","2025-02-17","1997-05-01","2.608"
"2025-02-17","2025-02-17","1997-06-01","2.587"
"2025-02-17","2025-02-17","1997-07-01","2.557"
"2025-02-17","2025-02-17","1997-08-01","2.551"
"2025-02-17","2025-02-17","1997-09-01","2.533"
"2025-02-17","2025-02-17","1997-10-01","2.635"
"2025-02-17","2025-02-17","1997-11-01","2.678"
"2025-02-17","2025-02-17","1997-12-01","2.672"
"2025-02-17","2025-02-17","1998-01-01","2.632"
"2025-02-17","2025-02-17","1998-02-01","2.653"
"2025-02-17","2025-02-17","1998-03-01","2.658"
"2025-02-17","2025-02-17","1998-04-01","2.668"
"2025-02-17","2025-02-17","1998-05-01","2.666"
"2025-02-17","2025-02-17","1998-06-01","2.622"
"2025-02-17","2025-02-17","1998-07-01","2.628"
"2025-02-17","2025-02-17","1998-08-01","2.717"
"2025-02-17","2025-02-17","1998-09-01","2.757"
"2025-02-17","2025-02-17","1998-10-01","2.785"
"2025-02-17","2025-02-17","1998-11-01","2.800"
"2025-02-17","2025-02-17","1998-12-01","2.859"
"2025-02-17","2025-02-17","1999-01-01","2.940"
"2025-02-17","2025-02-17","1999-02-01","3.004"
"2025-02-17","2025-02-17","1999-03-01","3.003"
"2025-02-17","2025-02-17","1999-04-01","2.707"
"2025-02-17","2025-02-17","1999-05-01","2.716"
"2025-02-17","2025-02-17","1999-06-01","2.704"
"2025-02-17","2025-02-17","1999-07-01","2.706"
"2025-02-17","2025-02-17","1999-08-01","2.719"
"2025-02-17","2025-02-17","1999-09-01","2.794"
"2025-02-17","2025-02-17","1999-10-01","2.964"
"2025-02-17","2025-02-17","1999-11-01","2.981"
"2025-02-17","2025-02-17","1999-12-01","2.875"
"2025-02-17","2025-02-17","2000-01-01","2.785"
"2025-02-17","2025-02-17","2000-02-01","2.777"
"2025-02-17","2025-02-17","2000-03-01","2.748"
"2025-02-17","2025-02-17","2000-04-01","2.773"
"2025-02-17","2025-02-17","2000-05-01","2.782"
"2025-02-17","2025-02-17","2000-06-01","2.763"
"2025-02-17","2025-02-17","2000-07-01","2.781"
"2025-02-17","2025-02-17","2000-08-01","2.807"
"2025-02-17","2025-02-17","2000-09-01","2.809"
"2025-02-17","2025-02-17","2000-10-01","2.805"
"2025-02-17","2025-02-17","2000-11-01","2.753"
"2025-02-17","2025-02-17","2000-12-01","2.785"
"2025-02-17","2025-02-17","2001-01-01","2.852"
"2025-02-17","2025-02-17","2001-02-01","2.847"
"2025-02-17","2025-02-17","2001-03-01","2.760"
"2025-02-17","2025-02-17","2001-04-01","2.845"
"2025-02-17","2025-02-17","2001-05-01","2.893"
"2025-02-17","2025-02-17","2001-06-01","2.911"
"2025-02-17","2025-02-17","2001-07-01","2.933"
"2025-02-17","2025-02-17","2001-08-01","2.890"
"2025-02-17","2025-02-17","2001-09-01","2.941"
"2025-02-17","2025-02-17","2001-10-01","2.954"
"2025-02-17","2025-02-17","2001-11-01","2.890"
"2025-02-17","2025-02-17","2001-12-01","2.895"
"2025-02-17","2025-02-17","2002-01-01","2.812"
"2025-02-17","2025-02-17","2002-02-01","2.807"
"2025-02-17","2025-02-17","2002-03-01","2.816"
"2025-02-17","2025-02-17","2002-04-01","2.779"
"2025-02-17","2025-02-17","2002-05-01","2.782"
"2025-02-17","2025-02-17","2002-06-01","2.768"
"2025-02-17","2025-02-17","2002-07-01","2.747"
"2025-02-17","2025-02-17","2002-08-01","2.720"
"2025-02-17","2025-02-17","2002-09-01","2.728"
"2025-02-17","2025-02-17","2002-10-01","2.727"
"2025-02-17","2025-02-17","2002-11-01","2.719"
"2025-02-17","2025-02-17","2002-12-01","2.682"
"2025-02-17","2025-02-17","2003-01-01","2.686"
